online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost
Yes,No,3.4,89.0,Jayanagar,Quick Bites,"North Indian, Chinese, Rolls",250.0
Yes,No,3.2,11.0,Basavanagudi,Quick Bites,"Beverages, Fast Food",150.0
Yes,No,3.6,62.0,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600.0
Yes,No,3.9,33.0,Jayanagar,Dessert Parlor,Desserts,300.0
Yes,No,3.8,32.0,Jayanagar,Sweet Shop,"Desserts, Mithai",250.0
Yes,No,4.1,139.0,Jayanagar,Casual Dining,"North Indian, Chinese, South Indian",550.0
Yes,No,3.2,154.0,Vijay Nagar,Quick Bites,Fast Food,300.0
Yes,No,3.6,14.0,Banashankari,Bakery,"Bakery, Desserts",350.0
Yes,No,3.7,237.0,Banashankari,Quick Bites,"South Indian, Fast Food",200.0
Yes,No,3.9,388.0,Banashankari,Casual Dining,"Biryani, North Indian, Seafood, Andhra",650.0
Yes,No,3.7,0.0,Jayanagar,Quick Bites,"South Indian, Chinese",300.0
Yes,No,3.9,128.0,Kumaraswamy Layout,Casual Dining,"South Indian, Chinese, Street Food, Juices",500.0
Yes,Yes,4.1,484.5,Jayanagar,Casual Dining,"North Indian, Afghani, Mughlai",1175.0
Yes,No,3.8,90.0,Banashankari,Cafe,Cafe,650.0
Yes,No,3.1,7.0,Kumaraswamy Layout,Quick Bites,"Italian, Chinese, Street Food",250.0
Yes,No,3.7,38.0,Uttarahalli,Casual Dining,"South Indian, North Indian",400.0
Yes,No,4.2,179.0,Banashankari,Delivery,Pizza,600.0
Yes,No,4.0,43.0,Basavanagudi,Dessert Parlor,"Desserts, Ice Cream",250.0
Yes,No,4.3,275.0,Basavanagudi,Quick Bites,South Indian,100.0
Yes,No,3.7,323.0,Jayanagar,Casual Dining,"Chinese, Thai, Momos",850.0
Yes,No,3.1,28.0,Uttarahalli,Casual Dining,"South Indian, North Indian, Chinese",400.0
Yes,No,3.9,18.0,Basavanagudi,Quick Bites,"South Indian, Healthy Food",200.0
Yes,No,3.3,6.0,Basavanagudi,Quick Bites,"Street Food, Fast Food",100.0
Yes,No,3.7,0.0,Basavanagudi,Dessert Parlor,Beverages,100.0
Yes,No,4.3,322.0,Jayanagar,Casual Dining,South Indian,400.0
